City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,Bridlington,GB,54.0831,-0.1919,56.89,85,24,3.02,few clouds
473,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,100,90,1.88,overcast clouds
474,San Francisco,US,37.7749,-122.4194,89.38,61,20,4.0,few clouds
475,Khandyga,RU,62.6667,135.6,57.63,56,100,4.52,overcast clouds
476,Ageyevo,RU,54.1588,36.4693,55.67,98,100,5.66,overcast clouds
477,Mogadishu,SO,2.0371,45.3438,78.91,88,48,20.56,scattered clouds
478,Techiman,GH,7.5862,-1.9414,72.41,90,23,5.21,light rain
479,Surgut,RU,61.25,73.4167,42.98,75,0,4.34,clear sky
480,Cayenne,GF,4.9333,-52.3333,80.1,86,0,6.78,clear sky
481,Manono,CD,-7.3,27.4167,74.73,54,91,7.4,overcast clouds
482,Nazarovo,RU,56.0064,90.3914,53.55,90,100,9.46,overcast clouds
483,Yavatmal,IN,20.4,78.1333,82.36,61,94,6.4,overcast clouds
484,Pocatello,US,42.8713,-112.4455,76.68,21,1,5.99,clear sky
485,Moche,PE,-8.1711,-79.0092,66.38,88,90,6.55,overcast clouds
486,Griffith,US,41.5284,-87.4237,88.09,52,40,7.0,scattered clouds
487,Mildura,AU,-34.2,142.15,49.96,81,62,12.66,broken clouds
488,Altagracia De Orituco,VE,9.8601,-66.3814,77.23,78,94,3.85,overcast clouds
489,Novouzensk,RU,50.4592,48.1431,60.4,79,47,5.37,scattered clouds
490,Mananara,MG,-16.1667,49.7667,70.72,85,87,8.37,overcast clouds
491,Pachino,IT,36.7186,15.0907,72.59,67,55,7.99,broken clouds
492,Khlevnoye,RU,52.1951,39.0932,55.42,95,13,6.06,few clouds
493,Konosha,RU,60.9736,40.257,57.61,82,69,5.14,broken clouds
494,Kenai,US,60.5544,-151.2583,69.03,53,1,12.66,clear sky
495,Birjand,IR,32.8663,59.2211,75.67,22,0,6.91,clear sky
496,Nchelenge,ZM,-9.3451,28.734,67.77,62,96,8.95,overcast clouds
497,Klaeng,TH,12.7797,101.6483,83.16,87,100,6.2,light rain
498,Melle,DE,52.2,8.35,61.25,87,97,6.02,overcast clouds
499,Teguldet,RU,57.3064,88.1667,55.04,94,100,9.1,overcast clouds
500,Marzuq,YE,14.4,46.4667,81.9,34,29,4.7,scattered clouds
501,Zyryanovsk,KZ,49.7386,84.2719,44.35,77,0,2.66,clear sky
502,Nueva Guinea,NI,11.6876,-84.4562,81.36,76,66,12.39,broken clouds
503,Zlobin,HR,45.2924,14.6541,59.38,82,0,4.68,clear sky
504,Killarney,IE,52.05,-9.5167,49.24,84,100,3.29,overcast clouds
505,Plettenberg Bay,ZA,-34.0527,23.3716,67.95,27,1,11.01,clear sky
506,Noshiro,JP,40.2039,140.0242,63.54,90,98,5.61,overcast clouds
507,Westport,US,41.1415,-73.3579,93.27,53,1,3.0,clear sky
508,Tonantins,BR,-2.8731,-67.8022,77.94,92,47,3.0,scattered clouds
509,Gashua,NG,12.871,11.0482,87.89,41,84,11.86,broken clouds
510,Kaitangata,NZ,-46.2817,169.8464,47.44,79,89,3.62,overcast clouds
511,Namatanai,PG,-3.6667,152.4333,81.05,81,100,3.76,light rain
512,Ambalema,CO,4.7841,-74.7627,89.83,67,59,2.89,broken clouds
513,Grajau,BR,-5.8194,-46.1386,79.29,61,41,2.98,scattered clouds
514,Bethanien,NA,-26.502,17.1583,55.92,35,0,15.23,clear sky
515,Medea,DZ,36.2642,2.7539,57.65,94,3,3.71,clear sky
516,Caravelas,BR,-17.7125,-39.2481,72.84,85,6,4.81,clear sky
517,Port Hardy,CA,50.6996,-127.4199,54.21,66,99,10.49,overcast clouds
518,Nailon,PH,11.0521,124.0385,79.54,82,100,5.48,overcast clouds
519,Beinamar,TD,8.6698,15.3813,76.77,70,75,5.12,broken clouds
520,Cerritos,US,33.8583,-118.0648,85.64,62,1,10.0,clear sky
521,Palamos,ES,41.8484,3.1291,67.98,20,47,7.7,scattered clouds
522,Datong,CN,40.0936,113.2914,67.28,38,100,2.37,overcast clouds
523,Saint-Louis,SN,16.3333,-15.0,95.74,14,1,1.81,clear sky
524,Lochem,NL,52.1592,6.4111,60.73,95,0,6.78,clear sky
525,Quepos,CR,9.4236,-84.1652,88.05,76,68,4.54,broken clouds
526,Husavik,IS,66.0449,-17.3389,50.07,71,77,5.3,broken clouds
527,Malakal,SS,9.5334,31.6605,78.03,66,98,3.53,overcast clouds
528,Lucea,JM,18.451,-78.1736,78.85,77,33,12.17,scattered clouds
529,Boda,CF,4.3189,17.4695,68.58,96,84,0.38,broken clouds
530,Platteville,US,42.7342,-90.4785,88.65,51,75,18.41,broken clouds
531,Ketchikan,US,55.3422,-131.6461,53.58,93,90,13.8,mist
532,San Simon De La Laguna,MX,19.3,-100.0833,78.24,71,100,3.76,light rain
533,Clifton,US,40.8584,-74.1638,95.32,42,20,4.0,few clouds
534,Vostochnyy,RU,55.8167,37.8667,61.11,91,93,4.29,overcast clouds
535,Zhaoyang,CN,42.682,126.0305,56.34,85,29,3.65,scattered clouds
536,Balclutha,NZ,-46.2339,169.75,46.38,80,97,1.5,overcast clouds
537,Sibu,MY,2.3,111.8167,72.39,98,100,2.48,overcast clouds
538,San Patricio,US,28.017,-97.5169,93.06,69,9,16.44,clear sky
539,Uvarovka,RU,55.5278,35.6061,56.08,95,100,3.2,overcast clouds
540,Goderich,CA,43.7501,-81.7165,71.71,70,12,10.63,few clouds
541,Mosjoen,NO,65.836,13.1908,58.57,86,100,4.63,light rain
542,Ritchie,ZA,-29.038,24.6028,46.99,38,0,9.84,clear sky
543,Caucaia,BR,-3.7361,-38.6531,82.04,73,0,5.44,clear sky
544,Chisindia,RO,46.2833,22.1,59.79,92,0,3.29,clear sky
545,Katsuura,JP,35.1333,140.3,73.11,90,99,2.15,overcast clouds
546,Ust-Ilimsk,RU,58.0006,102.6619,44.02,61,50,7.81,scattered clouds
547,Kirgiz-Miyaki,RU,53.6324,54.7979,54.9,68,6,3.13,clear sky
548,Aden,YE,12.7794,45.0367,91.81,53,4,1.43,clear sky
549,Masuguru,TZ,-11.3667,38.4167,66.34,66,13,3.38,few clouds
550,Atambua,ID,-9.1061,124.8925,68.2,85,35,4.97,scattered clouds
